PWS.ID,Primary.Source,Service.Connections.Count,Longitude,Latitude,Population.2016,Population.2021,Population.Change,Maximum.contaminant.levels.violation,Treatment.technique.violation,Health.violation,Monitoring.and.reporting.violation,SAFER.STATUS
CA1910248,Purchased water,1484,-118.19023043289658,34.484855864923404,6492,6600,0.0166358595194085,0.0,0.0,0.0,0.0,Not At-Risk
CA1910070,Purchased water,51516,-118.17689353688031,34.651256791938465,181293,187372,0.03353135531984136,0.0,0.0,0.0,0.0,Not Assessed
CA1910203,Purchased water,2862,-117.9270510841918,34.54330580990928,10590,10854,0.024929178470254956,0.0,0.0,0.0,0.0,Not At-Risk
CA3210001,Surface water,576,-120.89387780657894,40.112863022066186,1891,1129,-0.4029613960867266,0.0,0.0,0.0,0.0,Potentially At-Risk
CA3200510,Ground water,78,-120.91232391936676,40.0975445404603,258,258,0.0,0.0,0.0,0.0,0.0,Not At-Risk
CA1910005,Purchased water,3624,-117.83490191231864,34.613525135015244,13670,13950,0.020482809070958303,0.0,0.0,0.0,0.0,Not At-Risk
CA5800824,Ground water,45,-121.59689884767836,39.21356741282614,50,50,0.0,1.0,0.0,1.0,0.0,Failing
CA1910051,Purchased water,15795,-118.34494818743822,33.95975706072032,86418,86584,0.0019208961096067948,0.0,0.0,0.0,0.0,Not At-Risk
CA1000069,Ground water,201,-119.3185066396656,37.10769212886491,345,345,0.0,0.0,0.0,0.0,0.0,Not At-Risk
CA4500089,Ground water,27,-121.90145015622907,40.48848316345232,57,44,-0.22807017543859648,0.0,0.0,0.0,0.0,Potentially At-Risk
CA1000259,Ground water,77,-119.84807462519484,36.756454717063455,70,82,0.17142857142857143,0.0,0.0,0.0,2.0,Potentially At-Risk
CA5000072,Ground water,53,-120.83327105073715,37.48029079625092,49,148,2.020408163265306,0.0,0.0,0.0,0.0,Not At-Risk
CA3200127,Ground water,39,-120.89564245920386,40.08311881211491,33,33,0.0,0.0,0.0,0.0,0.0,Not At-Risk
CA1900520,Ground water,34,-118.13493696382318,34.73400161618568,50,50,0.0,13.0,0.0,13.0,2.0,Failing
CA2010800,Ground water,656,-120.1565143596865,37.09079805044141,2800,2374,-0.15214285714285714,0.0,0.0,0.0,0.0,At-Risk
CA2310013,Ground water,234,-123.69322250003488,38.91151885834097,646,472,-0.2693498452012384,0.0,0.0,0.0,0.0,Not At-Risk
CA3610052,Ground water,36668,-117.3675387805126,34.520834443387464,123795,124653,0.006930813037683266,0.0,0.0,0.0,0.0,Not Assessed
CA3600446,Ground water,36,-117.20943151555204,34.24863765364604,25,25,0.0,0.0,0.0,0.0,1.0,Not At-Risk
CA5000218,Ground water,23,-120.84881452985572,37.592333957876434,30,60,1.0,19.0,0.0,19.0,0.0,Failing
CA4500200,Ground water,1,-122.25575934981411,40.3982002420865,125,120,-0.04,0.0,0.0,0.0,0.0,Not At-Risk
CA1900523,Purchased water,253,-118.168536457835,34.63830294248895,749,749,0.0,0.0,0.0,0.0,0.0,Not At-Risk
CA3500576,Ground water,10,-121.62708495339018,36.86134877548823,44,44,0.0,0.0,0.0,0.0,0.0,Potentially At-Risk
CA2100579,Ground water,14,-122.7051135552339,38.06063790774671,51,43,-0.1568627450980392,5.0,0.0,5.0,2.0,Failing
CA3010047,Purchased water,2526,-117.77970769354415,33.77117019398364,5390,7236,0.3424860853432282,0.0,0.0,0.0,0.0,Not At-Risk
CA3010035,Purchased water,12882,-117.85951177544412,33.88000232685627,36374,53965,0.48361466981910156,0.0,0.0,0.0,0.0,Not At-Risk
CA3010022,Purchased water,27834,-118.03909575149449,33.80555101273381,114016,115128,0.009753017120404155,0.0,0.0,0.0,0.0,Not Assessed
CA0110001,Surface water,86788,-122.02098856202,37.53804125396169,340000,351000,0.03235294117647059,0.0,0.0,0.0,0.0,Not Assessed
CA1910027,Ground water,223,-117.76229795676996,34.70232812542918,782,811,0.0370843989769821,0.0,0.0,0.0,0.0,Not At-Risk
CA1910075,Purchased water,250,-118.37630453880008,34.289774278697244,1102,559,-0.4927404718693285,0.0,0.0,0.0,0.0,Not At-Risk
CA1910204,Purchased water,7421,-118.69779027007628,34.06211061496561,31115,22077,-0.2904708340028925,0.0,0.0,0.0,0.0,Not At-Risk
CA1910025,Purchased water,350,-117.88556070950442,34.48283002030224,1318,1326,0.006069802731411229,0.0,0.0,0.0,0.0,Not At-Risk
CA3500825,Ground water,29,-121.42565003147472,36.83065346381135,98,98,0.0,0.0,0.0,0.0,0.0,Not At-Risk
CA4000200,Ground water,24,-120.71579030391382,35.270827622119306,85,85,0.0,0.0,0.0,0.0,3.0,Not At-Risk
CA3700962,Ground water,70,-116.99491155800972,33.16632287217706,100,100,0.0,0.0,0.0,0.0,0.0,At-Risk
CA0510011,Purchased water,301,-120.27332962189573,38.295919436932486,270,596,1.2074074074074075,1.0,0.0,1.0,0.0,Potentially At-Risk
CA3600139,Ground water,215,-116.87590299505705,34.42209061573772,855,710,-0.1695906432748538,0.0,0.0,0.0,0.0,Not At-Risk
CA1510054,Ground water,275,-118.334306387893,35.190932833801355,638,642,0.006269592476489028,1.0,0.0,1.0,1.0,Failing
CA1710015,Ground water,2490,-122.55779521306216,38.80616526672412,7038,8227,0.16894003978402955,0.0,0.0,0.0,0.0,At-Risk
CA1910024,Purchased water,11143,-117.71740343551085,34.11428291447174,37072,37580,0.013703064307293915,0.0,0.0,0.0,0.0,Not At-Risk
CA1910142,Purchased water,16118,-117.82393545940371,34.097732236935336,55123,55338,0.003900368267329427,0.0,0.0,0.0,0.0,Not At-Risk
CA1910212,Ground water,7514,-118.03005139139292,34.10352948561388,26277,27113,0.03181489515545915,0.0,0.0,0.0,0.0,Not At-Risk
CA1910223,Purchased water,4956,-118.0987941064946,34.06216658866802,17046,27933,0.638683562126012,0.0,0.0,0.0,0.0,Potentially At-Risk
CA3700934,Ground water,101,-117.008327269614,33.34857419597109,120,193,0.6083333333333333,12.0,1.0,13.0,3.0,Failing
CA2100565,Ground water,17,-122.56312885469912,37.86658005172382,75,75,0.0,0.0,0.0,0.0,0.0,Not At-Risk
CA3410032,Surface water,2790,-121.1562126795687,38.69450795992358,9500,5422,-0.42926315789473685,0.0,0.0,0.0,0.0,Not At-Risk
CA3110035,Surface water,568,-120.9677520080198,39.04386692013816,1500,1500,0.0,0.0,0.0,0.0,0.0,Not At-Risk
CA3010001,Surface water,62109,-117.85934350598912,33.83836265130237,450000,365987,-0.18669555555555556,0.0,0.0,0.0,0.0,Not Assessed
CA4900599,Ground water,29,-122.67456263705536,38.48387980271362,100,100,0.0,0.0,0.0,0.0,0.0,Not At-Risk
CA4700872,Surface water,46,-122.28560337018104,41.31676381456944,150,150,0.0,0.0,0.0,0.0,1.0,Not At-Risk
CA4700551,Surface water,61,-122.28005169840225,41.966241288176896,181,181,0.0,0.0,0.0,0.0,0.0,Not At-Risk
CA5610019,Purchased water,13979,-119.05193574779204,34.22575686883734,47183,40481,-0.14204268486531166,0.0,0.0,0.0,0.0,Not At-Risk
CA2210924,Ground water,186,-119.71863897410168,37.64795905266653,420,420,0.0,0.0,0.0,0.0,0.0,Potentially At-Risk
CA2210901,Ground water,98,-120.19724535556166,37.71085035237046,193,193,0.0,0.0,0.0,0.0,1.0,At-Risk
CA4400585,Ground water,18,-122.13776843000416,37.18572913340889,45,45,0.0,0.0,0.0,0.0,1.0,Potentially At-Risk
CA3301180,Ground water,85,-116.67238148500194,33.5515263782219,224,224,0.0,0.0,0.0,0.0,0.0,Potentially At-Risk
CA3600088,Ground water,45,-116.9838604988162,34.43406204625128,120,150,0.25,0.0,0.0,0.0,1.0,Not At-Risk
CA1502653,Ground water,46,-118.315193272048,35.64507488238997,131,150,0.1450381679389313,0.0,0.0,0.0,1.0,At-Risk
CA2600547,Ground water,108,-118.74248617585285,37.56782633976962,130,230,0.7692307692307693,0.0,0.0,0.0,1.0,Not At-Risk
CA4300567,Ground water,27,-121.63967546506709,37.02759169632412,132,132,0.0,0.0,0.0,0.0,2.0,Not At-Risk
CA1503226,Ground water,75,-118.3664065472842,35.19103566919355,139,207,0.4892086330935252,10.0,0.0,10.0,1.0,At-Risk
CA4500235,Ground water,71,-121.88868166910648,40.48690908448032,210,187,-0.10952380952380952,0.0,0.0,0.0,0.0,Not At-Risk
CA1200566,Surface water,38,-123.55994397780582,41.297676410316,85,85,0.0,0.0,0.0,0.0,0.0,Potentially At-Risk
CA1210008,Surface water,442,-123.78844609979195,40.105005845214514,1500,1500,0.0,0.0,0.0,0.0,1.0,Not At-Risk
CA3010046,Purchased water,14108,-117.81512339859376,33.74678105586433,67700,68088,0.0057311669128508125,0.0,0.0,0.0,2.0,Not At-Risk
CA4900634,Ground water,29,-123.06113860575536,38.48445749740787,45,45,0.0,0.0,0.0,0.0,3.0,At-Risk
CA2700775,Ground water,16,-121.73205548446732,36.56930856023809,48,48,0.0,0.0,0.0,0.0,4.0,Not At-Risk
CA4310028,Purchased water,54,-121.88129955719812,37.33519187975293,30000,30000,0.0,0.0,0.0,0.0,0.0,Not Assessed
CA5010013,Ground water,3525,-121.02518109696314,37.31680753424845,10753,11784,0.09588021947363526,0.0,0.0,0.0,0.0,At-Risk
CA2000688,Ground water,15,-119.62563910055586,37.3853593797376,100,100,0.0,2.0,0.0,2.0,1.0,Failing
CA1010018,Ground water,3789,-120.06288982680714,36.72764392083574,14068,15282,0.0862951379016207,0.0,0.0,0.0,0.0,Failing
CA3610014,Ground water,10252,-117.31974999293388,34.052267601553055,52086,55430,0.06420151288254042,0.0,0.0,0.0,0.0,Not At-Risk
CA4500066,Ground water,40,-122.382279199224,40.51369940608311,86,75,-0.12790697674418605,0.0,0.0,0.0,0.0,Not At-Risk
CA4700528,Surface water,95,-122.6315583438146,41.70022166478277,300,300,0.0,0.0,0.0,0.0,0.0,Not At-Risk
CA4900736,Ground water,19,-122.98516257947756,38.80038040844837,40,40,0.0,0.0,0.0,0.0,0.0,Not At-Risk
