pws.id,longitude,latitude
CA0300058,-120.96385637080346,38.25024383362164
CA0300060,-120.49982757211662,38.502749149354536
CA0300062,-121.01167093182224,38.479687886720725
CA0300064,-120.91614885523896,38.454003097699264
CA0300066,-120.5617858493813,38.49773578934151
CA0300067,-120.10896879329795,38.65764513627841
CA0300070,-120.11593198144551,38.66976771547441
CA0300077,-120.78711519587903,38.54149615881514
CA0300078,-120.97326041905757,38.31183434305523
CA0300081,-120.82338472326784,38.505495509444614
CA0300085,-120.6339760454406,38.386747312714974
CA0300086,-120.73767665902398,38.32659378250751
CA0300087,-120.82348114491127,38.517297053796725
CA0300088,-120.62631051595316,38.43238580453646
CA0300089,-120.8227647256009,38.515820246962285
CA0300090,-120.81322178502879,38.52645474395688
CA0300448,-120.64817671698034,38.40740112885817
CA0300518,-120.75750646207068,38.51648000316984
CA0300524,-120.90261649917475,38.30748924624221
CA0300627,-120.5121561727226,38.492090643919504
CA0300667,-120.61136819541692,38.4644892841281
CA0300679,-120.91404480481432,38.277522795384016
CA0301038,-120.86993630096835,38.285344372704046
CA0310001,-120.77236157365216,38.34862945015893
CA0310002,-120.96392629357442,38.38135399822849
CA0310003,-120.7659148690713,38.37987348703128
CA0310004,-120.84452333996701,38.478342254752924
CA0310005,-120.66060526356537,38.40738417983819
CA0310006,-120.74299422602869,38.54673952024561
CA0310008,-120.94481359514667,38.23622152004974
CA0310011,-120.53703133349656,38.45826044553504
CA0310012,-120.5917278370687,38.42146563878837
CA0310015,-120.52606873292478,38.462077760954
CA0310018,-120.5392053614467,38.44709427895176
CA0310019,-120.66076120999321,38.46272630746486
CA0310020,-120.91778451589381,38.295445735906846
CA0310021,-120.9773184674257,38.26070179784629
CA0310300,-120.64306612551944,38.42483845663067
CA0310801,-120.93731753228775,38.35946948551416
CA0400001,-121.77835375316887,39.83974277169987
CA0400003,-121.68211439172187,39.87215582198096
CA0400004,-121.68153691063057,39.87002720300088
CA0400007,-121.7741924345005,39.683363621262686
CA0400008,-121.7455745520007,39.70555001207965
CA0400010,-121.61296822885225,39.87476018727208
CA0400012,-121.64758589054715,39.36318881628622
CA0400013,-121.164518394396,39.53518728146793
CA0400014,-121.40372649609837,39.64865481734637
CA0400016,-121.38906197113737,39.638381331008574
CA0400019,-121.57809593200386,39.4711068500754
CA0400020,-121.5530973498176,39.44314976785873
CA0400021,-121.60972640903272,39.36534791644443
CA0400023,-121.60663242078826,39.425554835373624
CA0400025,-121.6011984868571,39.49904921900028
CA0400026,-121.59197001187239,39.64149160329853
CA0400027,-121.62780921019676,39.659979047509516
CA0400028,-121.4931669359492,39.722615739504015
CA0400030,-121.58128305650385,39.49669383907111
CA0400036,-121.87178012061285,39.77045891460757
CA0400037,-121.86530421485126,39.73528474073987
CA0400040,-121.85763266343203,39.764573218524674
