k,max_intra_cluster_distance_km
746,173.13718354122707
747,173.13718354122707
748,173.13718354122707
749,173.13718354122707
750,173.13718354122707
751,173.13718354122707
752,173.13718354122707
753,173.13718354122707
754,173.13718354122707
755,173.13718354122707
756,173.13718354122707
757,173.13718354122707
758,173.13718354122707
759,173.13718354122707
760,173.13718354122707
761,173.13718354122707
762,173.13718354122707
763,173.13718354122707
764,173.13718354122707
765,173.13718354122707
766,173.13718354122707
767,173.13718354122707
768,173.13718354122707
769,173.13718354122707
770,173.13718354122707
771,173.13718354122707
772,173.13718354122707
773,173.13718354122707
774,173.13718354122707
775,173.13718354122707
776,173.13718354122707
777,173.13718354122707
778,173.13718354122707
779,173.13718354122707
780,173.13718354122707
781,173.13718354122707
782,173.13718354122707
783,173.13718354122707
784,173.13718354122707
785,173.13718354122707
786,173.13718354122707
787,173.13718354122707
788,173.13718354122707
789,173.13718354122707
790,173.13718354122707
791,173.13718354122707
792,173.13718354122707
793,173.13718354122707
794,173.13718354122707
795,173.13718354122707
796,173.13718354122707
797,173.13718354122707
798,173.13718354122707
799,173.13718354122707
800,173.13718354122707
801,173.13718354122707
802,173.13718354122707
803,173.13718354122707
804,173.13718354122707
805,173.13718354122707
806,173.13718354122707
807,173.13718354122707
808,173.13718354122707
809,173.13718354122707
810,173.13718354122707
811,173.13718354122707
812,173.13718354122707
813,173.13718354122707
814,173.13718354122707
815,173.13718354122707
816,173.13718354122707
817,173.13718354122707
818,173.13718354122707
819,173.13718354122707
820,173.13718354122707
821,173.13718354122707
822,173.13718354122707
823,173.13718354122707
824,173.13718354122707
825,173.13718354122707
826,173.13718354122707
827,173.13718354122707
828,173.13718354122707
829,173.13718354122707
830,173.13718354122707
831,173.13718354122707
832,173.13718354122707
833,173.13718354122707
834,173.13718354122707
835,173.13718354122707
836,173.13718354122707
837,173.13718354122707
838,173.13718354122707
839,173.13718354122707
840,173.13718354122707
841,173.13718354122707
842,173.13718354122707
843,173.13718354122707
844,173.13718354122707
845,173.13718354122707
846,173.13718354122707
847,173.13718354122707
848,173.13718354122707
849,173.13718354122707
850,173.13718354122707
851,173.13718354122707
852,173.13718354122707
853,173.13718354122707
854,173.13718354122707
855,173.13718354122707
856,173.13718354122707
857,173.13718354122707
858,173.13718354122707
859,173.13718354122707
860,173.13718354122707
861,173.13718354122707
862,173.13718354122707
863,173.13718354122707
864,173.13718354122707
865,173.13718354122707
866,173.13718354122707
867,173.13718354122707
868,173.13718354122707
869,173.13718354122707
870,173.13718354122707
871,173.13718354122707
872,173.13718354122707
873,173.13718354122707
874,173.13718354122707
875,173.13718354122707
876,173.13718354122707
877,173.13718354122707
878,173.13718354122707
879,173.13718354122707
880,173.13718354122707
881,173.13718354122707
882,173.13718354122707
883,173.13718354122707
884,173.13718354122707
885,173.13718354122707
886,173.13718354122707
887,173.13718354122707
888,173.13718354122707
889,173.13718354122707
890,173.13718354122707
891,173.13718354122707
892,173.13718354122707
893,173.13718354122707
894,173.13718354122707
895,173.13718354122707
896,173.13718354122707
897,173.13718354122707
898,173.13718354122707
899,173.13718354122707
900,173.13718354122707
901,173.13718354122707
902,173.13718354122707
903,173.13718354122707
904,173.13718354122707
905,173.13718354122707
906,173.13718354122707
907,173.13718354122707
908,173.13718354122707
909,173.13718354122707
910,173.13718354122707
911,173.13718354122707
912,173.13718354122707
913,173.13718354122707
914,173.13718354122707
915,173.13718354122707
916,173.13718354122707
917,173.13718354122707
918,173.13718354122707
919,173.13718354122707
920,173.13718354122707
921,173.13718354122707
922,173.13718354122707
923,173.13718354122707
924,173.13718354122707
925,173.13718354122707
926,173.13718354122707
927,173.13718354122707
928,173.13718354122707
929,173.13718354122707
930,173.13718354122707
931,173.13718354122707
932,173.13718354122707
933,173.13718354122707
934,173.13718354122707
935,173.13718354122707
936,173.13718354122707
937,173.13718354122707
938,173.13718354122707
939,173.13718354122707
940,173.13718354122707
941,173.13718354122707
942,173.13718354122707
943,173.13718354122707
944,173.13718354122707
945,173.13718354122707
946,173.13718354122707
947,173.13718354122707
948,173.13718354122707
949,173.13718354122707
950,173.13718354122707
951,173.13718354122707
952,173.13718354122707
953,173.13718354122707
954,173.13718354122707
955,173.13718354122707
956,173.13718354122707
957,173.13718354122707
