PWS.ID,Primary.Source,Service.Connections.Count,Longitude,Latitude,Population.2016,Population.2021,Population.Change,Maximum.contaminant.levels.violation,Treatment.technique.violation,Health.violation,Monitoring.and.reporting.violation,SAFER.STATUS,Physical_Consolidation_Type,Physical_Cluster_Number,Managerial_Consolidation_Type,Managerial_Cluster_Number
CA4810026,Purchased water,17,-121.97804201541489,38.2975104191113,66,66,0.0,0.0,0.0,0.0,0.0,Not At-Risk,No_Consolidation,1212,Balanced_Merger,596
CA4810024,Purchased water,19,-122.0386346363068,38.314960342942456,53,53,0.0,0.0,0.0,0.0,0.0,Potentially At-Risk,No_Consolidation,1213,No_Consolidation,970
CA4810025,Surface water,27,-122.0471111071538,38.40288187262802,73,73,0.0,0.0,0.0,0.0,0.0,Not At-Risk,No_Consolidation,1214,Balanced_Merger,735
CA1200538,Ground water,101,-123.8745109722726,40.26459548471329,400,400,0.0,0.0,0.0,0.0,1.0,Not At-Risk,No_Consolidation,1215,Balanced_Merger,349
CA0810001,Ground water,3939,-124.17710323581984,41.78662955804989,14000,14000,0.0,0.0,0.0,0.0,0.0,Not At-Risk,No_Consolidation,1216,Balanced_Merger,633
CA5510002,Surface water,640,-120.2380216299094,37.98753273821992,1632,1647,0.0091911764705882,0.0,0.0,0.0,0.0,Not Assessed,No_Consolidation,1217,Balanced_Merger,146
CA5510003,Surface water,686,-120.24015205678955,37.96140062588762,1699,1691,-0.0047086521483225,0.0,0.0,0.0,0.0,At-Risk,No_Consolidation,1218,Balanced_Merger,146
CA1800534,Ground water,82,-120.77640225499589,40.65782115940037,30,300,9.0,0.0,0.0,0.0,0.0,Not At-Risk,No_Consolidation,1219,No_Consolidation,971
CA5200575,Ground water,12,-122.216908033772,40.13697967838712,36,36,0.0,0.0,0.0,0.0,0.0,Not At-Risk,Joint_Merger,16,Joint_Merger,3
CA1900693,Ground water,56,-116.97565567589312,33.76672398684174,140,140,0.0,0.0,0.0,0.0,0.0,Not At-Risk,No_Consolidation,1220,Direct_Acquisition,138
CA4410001,Ground water,482,-122.17929211654295,37.16384475146739,1650,1120,-0.3212121212121212,0.0,0.0,0.0,12.0,At-Risk,No_Consolidation,1221,Balanced_Merger,233
CA1900537,Ground water,40,-118.3586169340156,34.51121874018873,109,109,0.0,0.0,0.0,0.0,3.0,At-Risk,Balanced_Merger,144,Balanced_Merger,419
CA4300637,Ground water,21,-121.65713878651096,37.053738395284135,58,58,0.0,0.0,0.0,0.0,1.0,Not At-Risk,Balanced_Merger,120,Balanced_Merger,424
CA4810013,Ground water,398,-122.00746714317128,38.42260232890691,900,1130,0.2555555555555555,0.0,0.0,0.0,0.0,Potentially At-Risk,No_Consolidation,1222,Balanced_Merger,651
CA3910027,Surface water,6676,-121.54237793459184,37.78420968205657,12940,21750,0.6808346213292118,0.0,0.0,0.0,0.0,Potentially At-Risk,No_Consolidation,1223,No_Consolidation,972
CA4700521,Surface water,58,-122.3636140521662,41.44644009753024,142,142,0.0,0.0,0.0,0.0,1.0,Not At-Risk,No_Consolidation,1224,Direct_Acquisition,572
