Distance_km,Joint_Merger_Total,Joint_Merger_Health_Violation,Joint_Merger_Monitoring_Violation,Joint_Merger_Decreasing_Population,Joint_Merger_SAFER_Failing,Balanced_Merger_Total,Balanced_Merger_Health_Violation,Balanced_Merger_Monitoring_Violation,Balanced_Merger_Decreasing_Population,Balanced_Merger_SAFER_Failing,Direct_Acquisition_Total,Direct_Acquisition_Health_Violation,Direct_Acquisition_Monitoring_Violation,Direct_Acquisition_Decreasing_Population,Direct_Acquisition_SAFER_Failing,No_Consolidation_Total,No_Consolidation_Health_Violation,No_Consolidation_Monitoring_Violation,No_Consolidation_Decreasing_Population,No_Consolidation_SAFER_Failing,Total_Systems,Total_Consolidation,Total_Health_Violation,Total_Monitoring_Violation,Total_Decreasing_Population,Total_SAFER_Failing
67,1607,48,271,251,86,935,291,415,144,181,190,59,94,27,38,15,2,6,3,4,2747,2732,400,786,425,309
68,1607,48,271,251,86,934,291,415,145,181,191,59,94,26,38,15,2,6,3,4,2747,2732,400,786,425,309
69,1607,48,271,251,86,937,292,416,145,182,188,58,93,26,37,15,2,6,3,4,2747,2732,400,786,425,309
70,1607,48,271,251,86,937,292,416,145,182,188,58,93,26,37,15,2,6,3,4,2747,2732,400,786,425,309
71,1607,48,271,251,86,944,292,419,146,182,181,58,90,25,37,15,2,6,3,4,2747,2732,400,786,425,309
72,1607,48,271,251,86,944,292,419,146,182,181,58,90,25,37,15,2,6,3,4,2747,2732,400,786,425,309
73,1607,48,271,251,86,944,292,419,146,182,181,58,90,25,37,15,2,6,3,4,2747,2732,400,786,425,309
74,1607,48,271,251,86,952,295,422,145,186,175,55,89,26,33,13,2,4,3,4,2747,2734,400,786,425,309
75,1607,48,271,251,86,965,307,432,146,196,162,43,79,25,23,13,2,4,3,4,2747,2734,400,786,425,309
76,1607,48,271,251,86,972,307,435,146,197,156,43,77,25,23,12,2,3,3,3,2747,2735,400,786,425,309
77,1607,48,271,251,86,972,307,435,146,197,156,43,77,25,23,12,2,3,3,3,2747,2735,400,786,425,309
78,1607,48,271,251,86,972,307,435,146,197,157,43,77,26,23,11,2,3,2,3,2747,2736,400,786,425,309
79,1809,66,335,283,103,761,272,364,107,174,167,60,83,33,29,10,2,4,2,3,2747,2737,400,786,425,309
80,1809,66,335,283,103,762,272,364,107,174,167,60,83,33,29,9,2,4,2,3,2747,2738,400,786,425,309
81,1809,66,335,283,103,762,272,364,107,174,167,60,83,33,29,9,2,4,2,3,2747,2738,400,786,425,309
82,1809,66,335,283,103,762,272,364,107,174,167,60,83,33,29,9,2,4,2,3,2747,2738,400,786,425,309
83,1809,66,335,283,103,762,272,364,107,174,167,60,83,33,29,9,2,4,2,3,2747,2738,400,786,425,309
